Orthogroup	Duplications (all)	Duplications (50% support)
OG0000148	87	76
OG0000149	101	99
OG0000150	101	98
OG0000151	109	83
OG0000152	132	132
OG0000153	106	104
OG0000154	110	110
OG0000155	73	70
OG0000156	121	118
OG0000157	112	106
OG0000158	95	87
OG0000159	116	104
OG0000160	107	103
OG0000161	112	96
OG0000162	119	105
OG0000163	97	94
OG0000164	99	81
OG0000165	102	102
OG0000166	111	106
OG0000167	115	110
OG0000168	96	85
OG0000169	126	126
OG0000170	90	87
OG0000171	104	86
OG0000172	115	114
OG0000173	91	90
OG0000174	126	126
OG0000175	83	68
OG0000176	106	102
OG0000177	111	103
OG0000178	113	112
OG0000179	42	35
OG0000180	78	66
OG0000181	91	77
OG0000182	121	114
OG0000183	90	90
OG0000184	90	79
OG0000185	102	101
OG0000186	108	108
OG0000187	88	74
OG0000188	73	71
OG0000189	65	56
OG0000190	82	77
OG0000191	94	85
OG0000192	93	83
OG0000193	102	101
OG0000194	93	71
OG0000195	91	79
OG0000196	94	89
OG0000197	93	78
OG0000198	111	111
OG0000199	81	77
OG0000200	77	68
OG0000201	107	101
OG0000202	88	75
OG0000203	104	98
OG0000204	56	48
OG0000205	92	88
OG0000206	103	103
OG0000207	91	74
OG0000208	108	108
OG0000209	61	31
OG0000210	91	80
OG0000211	98	91
OG0000212	99	91
OG0000213	95	93
OG0000214	102	102
OG0000215	108	105
OG0000216	94	85
OG0000217	91	89
OG0000218	98	95
OG0000219	78	76
OG0000220	89	89
OG0000221	100	94
OG0000222	65	61
OG0000223	108	108
OG0000224	109	109
OG0000225	94	88
OG0000226	83	81
OG0000227	117	117
OG0000228	86	83
OG0000229	96	86
OG0000230	94	75
OG0000231	70	70
OG0000232	83	83
OG0000233	82	70
OG0000234	92	92
OG0000235	89	71
OG0000236	105	105
OG0000237	84	81
OG0000238	92	92
OG0000239	103	103
OG0000240	89	71
OG0000241	95	86
OG0000242	99	96
OG0000243	88	75
OG0000244	99	96
OG0000245	104	101
OG0000246	83	82
OG0000247	90	81
OG0000248	78	54
OG0000249	97	87
OG0000250	81	81
OG0000251	74	73
OG0000252	91	89
OG0000253	81	52
OG0000254	81	66
OG0000255	86	84
OG0000256	96	96
OG0000257	99	97
OG0000258	86	76
OG0000259	100	80
OG0000260	112	112
OG0000261	73	70
OG0000262	95	79
OG0000263	90	83
OG0000264	89	84
OG0000265	57	53
OG0000266	69	69
OG0000267	102	102
OG0000268	101	99
OG0000269	62	50
OG0000270	88	77
OG0000271	82	76
OG0000272	83	79
OG0000273	67	67
OG0000274	89	74
OG0000275	63	63
OG0000276	71	63
OG0000277	99	99
OG0000278	66	60
OG0000279	66	65
OG0000280	79	71
OG0000281	77	69
OG0000282	76	67
OG0000283	61	61
OG0000284	97	90
OG0000285	86	84
OG0000286	60	60
OG0000287	77	66
OG0000288	73	68
OG0000289	68	61
OG0000290	79	64
OG0000291	85	71
OG0000292	83	77
OG0000293	88	88
OG0000294	90	89
OG0000295	98	98
OG0000296	88	77
OG0000297	94	86
OG0000298	107	107
OG0000299	106	106
OG0000300	93	92
OG0000301	90	79
OG0000302	99	99
OG0000303	83	82
OG0000304	73	66
OG0000305	106	106
OG0000306	106	106
OG0000307	82	81
OG0000308	106	106
OG0000309	43	34
OG0000310	80	73
OG0000311	87	69
OG0000312	89	79
OG0000313	80	77
OG0000314	104	104
OG0000315	72	67
OG0000316	85	81
OG0000317	80	80
OG0000318	81	75
OG0000319	87	79
OG0000320	81	80
OG0000321	71	69
OG0000322	75	72
OG0000323	94	93
OG0000324	103	103
OG0000325	74	72
OG0000326	81	69
OG0000327	91	91
OG0000328	87	85
OG0000329	90	90
OG0000330	93	93
OG0000331	70	66
OG0000332	79	75
OG0000333	77	75
OG0000334	76	75
OG0000335	87	84
OG0000336	73	63
OG0000337	76	51
OG0000338	66	42
OG0000339	68	62
OG0000340	69	68
OG0000341	68	63
OG0000342	75	72
OG0000343	79	76
OG0000344	71	64
OG0000345	72	66
OG0000346	81	77
OG0000347	62	54
OG0000348	78	76
OG0000349	55	50
OG0000350	59	55
OG0000351	52	48
OG0000352	88	86
OG0000353	45	35
OG0000354	84	74
OG0000355	67	66
OG0000356	83	83
OG0000357	75	61
OG0000358	97	97
OG0000359	83	83
OG0000360	79	72
OG0000361	73	71
OG0000362	67	66
OG0000363	71	70
OG0000364	97	97
OG0000365	80	73
OG0000366	74	68
OG0000367	96	96
OG0000368	86	78
OG0000369	59	34
OG0000370	67	67
OG0000371	81	80
OG0000372	75	67
OG0000373	84	78
OG0000374	81	73
OG0000375	86	83
OG0000376	54	49
OG0000377	63	46
OG0000378	79	77
OG0000379	85	84
OG0000380	58	51
OG0000381	71	50
OG0000382	57	56
OG0000383	73	70
OG0000384	81	78
OG0000385	50	44
OG0000386	75	66
OG0000387	68	64
OG0000388	88	80
OG0000389	95	95
OG0000390	79	66
OG0000391	39	31
OG0000392	70	64
OG0000393	46	39
OG0000394	57	48
OG0000395	80	78
OG0000396	51	49
OG0000397	73	66
OG0000398	81	74
OG0000399	75	71
OG0000400	71	71
OG0000401	84	84
OG0000402	79	79
OG0000403	68	67
OG0000404	50	43
OG0000405	67	63
OG0000406	64	57
OG0000407	76	75
OG0000408	78	77
OG0000409	71	67
OG0000410	67	64
OG0000411	92	92
OG0000412	78	77
OG0000413	65	65
OG0000414	66	65
OG0000415	83	82
OG0000416	49	8
OG0000417	69	66
OG0000418	70	69
OG0000419	75	74
OG0000420	64	60
OG0000421	70	66
OG0000422	73	73
OG0000423	60	59
OG0000424	76	73
OG0000425	74	70
OG0000426	91	91
OG0000427	69	58
OG0000428	82	81
OG0000429	53	51
OG0000430	62	57
OG0000431	65	60
OG0000432	46	43
OG0000433	71	70
OG0000434	79	78
OG0000435	54	44
OG0000436	60	57
OG0000437	66	66
OG0000438	68	67
OG0000439	77	76
OG0000440	75	75
OG0000441	60	58
OG0000442	63	54
OG0000443	75	73
OG0000444	75	75
OG0000445	70	40
OG0000446	67	59
OG0000447	73	70
OG0000448	58	53
OG0000449	88	88
OG0000450	74	74
OG0000451	65	53
OG0000452	74	71
OG0000453	78	74
OG0000454	77	69
OG0000455	88	88
OG0000456	66	65
OG0000457	66	66
OG0000458	59	59
OG0000459	46	30
OG0000460	75	75
OG0000461	72	63
OG0000462	68	67
OG0000463	29	26
OG0000464	63	63
OG0000465	55	48
OG0000466	71	71
OG0000467	80	80
OG0000468	71	66
OG0000469	53	48
OG0000470	77	75
OG0000471	70	67
OG0000472	74	74
OG0000473	78	68
OG0000474	74	66
OG0000475	87	87
OG0000476	65	65
OG0000477	79	79
OG0000478	59	54
OG0000479	65	62
OG0000480	57	57
OG0000481	73	73
OG0000482	69	69
OG0000483	68	64
OG0000484	75	75
OG0000485	80	80
OG0000486	71	54
OG0000487	65	64
OG0000488	66	63
OG0000489	76	74
OG0000490	70	67
OG0000491	86	86
OG0000492	81	81
OG0000493	73	58
OG0000494	78	78
OG0000495	52	48
OG0000496	43	43
OG0000497	72	72
OG0000498	60	57
OG0000499	75	69
OG0000500	67	59
OG0000501	76	76
OG0000502	63	60
OG0000503	64	59
OG0000504	50	47
OG0000505	68	65
OG0000506	77	76
OG0000507	72	72
OG0000508	75	72
OG0000509	74	74
OG0000510	77	77
OG0000511	77	76
OG0000512	40	36
OG0000513	62	52
OG0000514	57	51
OG0000515	73	70
OG0000516	50	47
OG0000517	59	55
OG0000518	65	64
OG0000519	71	70
OG0000520	72	72
OG0000521	65	62
OG0000522	72	68
OG0000523	61	61
OG0000524	77	77
OG0000525	69	66
OG0000526	82	82
OG0000527	63	63
OG0000528	66	65
OG0000529	56	55
OG0000530	71	71
OG0000531	51	36
OG0000532	77	64
OG0000533	73	72
OG0000534	64	59
OG0000535	58	58
OG0000536	59	57
OG0000537	74	74
OG0000538	70	67
OG0000539	68	68
OG0000540	58	43
OG0000541	54	52
OG0000542	56	49
OG0000543	66	66
OG0000544	70	61
OG0000545	45	43
OG0000546	61	60
OG0000547	66	63
OG0000548	66	64
OG0000549	74	73
OG0000550	65	52
OG0000551	74	73
OG0000552	65	63
OG0000553	74	67
OG0000554	53	49
OG0000555	70	65
OG0000556	64	64
OG0000557	59	53
OG0000558	71	54
OG0000559	61	50
OG0000560	73	72
OG0000561	74	74
OG0000562	72	72
OG0000563	69	69
OG0000564	65	60
OG0000565	61	56
OG0000566	40	34
OG0000567	67	67
OG0000568	58	57
OG0000569	67	66
OG0000570	54	45
OG0000571	42	39
OG0000572	56	55
OG0000573	63	62
OG0000574	73	73
OG0000575	62	52
OG0000576	56	53
OG0000577	80	80
OG0000578	62	60
OG0000579	80	80
OG0000580	57	53
OG0000581	52	52
OG0000582	51	43
OG0000583	55	53
OG0000584	63	63
OG0000585	53	53
OG0000586	65	65
OG0000587	52	48
OG0000588	67	65
OG0000589	51	51
OG0000590	64	63
OG0000591	62	61
OG0000592	64	64
OG0000593	64	59
OG0000594	64	63
OG0000595	54	52
OG0000596	56	45
OG0000597	66	63
OG0000598	55	53
OG0000599	56	52
OG0000600	60	58
OG0000601	59	59
OG0000602	56	47
OG0000603	57	56
OG0000604	64	64
OG0000605	56	46
OG0000606	73	64
OG0000607	54	52
OG0000608	58	58
OG0000609	67	53
OG0000610	61	57
OG0000611	69	61
OG0000612	66	62
OG0000613	37	34
OG0000614	77	77
OG0000615	46	40
OG0000616	62	60
OG0000617	60	56
OG0000618	66	65
OG0000619	67	58
OG0000620	65	64
OG0000621	58	57
OG0000622	52	49
OG0000623	70	70
OG0000624	65	59
OG0000625	60	60
OG0000626	52	48
OG0000627	65	63
OG0000628	57	56
OG0000629	61	60
OG0000630	63	63
OG0000631	64	64
OG0000632	64	61
OG0000633	64	60
OG0000634	50	48
OG0000635	56	55
OG0000636	62	62
OG0000637	51	50
OG0000638	60	51
OG0000639	50	48
OG0000640	58	44
OG0000641	62	54
OG0000642	60	59
OG0000643	48	47
OG0000644	65	65
OG0000645	39	28
OG0000646	62	62
OG0000647	51	51
OG0000648	37	33
OG0000649	41	41
OG0000650	60	57
OG0000651	62	58
OG0000652	45	42
OG0000653	63	62
OG0000654	58	53
OG0000655	57	56
OG0000656	51	44
OG0000657	60	54
OG0000658	66	66
OG0000659	59	57
OG0000660	60	58
OG0000661	62	53
OG0000662	32	31
OG0000663	62	62
OG0000664	65	64
OG0000665	68	68
OG0000666	68	67
OG0000667	58	58
OG0000668	76	76
OG0000669	71	71
OG0000670	70	69
OG0000671	56	53
OG0000672	64	63
OG0000673	43	43
OG0000674	66	66
OG0000675	65	64
OG0000676	52	50
OG0000677	56	47
OG0000678	43	42
OG0000679	55	55
OG0000680	58	56
OG0000681	53	52
OG0000682	52	48
OG0000683	59	56
OG0000684	48	46
OG0000685	49	46
OG0000686	54	53
OG0000687	50	46
OG0000688	51	49
OG0000689	64	54
OG0000690	54	53
OG0000691	64	61
OG0000692	63	63
OG0000693	71	71
OG0000694	43	42
OG0000695	59	58
OG0000696	74	74
OG0000697	50	45
OG0000698	73	73
OG0000699	49	31
OG0000700	44	37
OG0000701	55	55
OG0000702	55	55
OG0000703	58	58
OG0000704	50	47
OG0000705	52	52
OG0000706	62	60
OG0000707	54	54
OG0000708	61	59
OG0000709	59	54
OG0000710	60	58
OG0000711	42	41
OG0000712	62	53
OG0000713	44	41
OG0000714	41	39
OG0000715	61	57
OG0000716	56	54
OG0000717	49	48
OG0000718	54	48
OG0000719	65	65
OG0000720	60	60
OG0000721	60	60
OG0000722	51	50
OG0000723	61	59
OG0000724	64	59
OG0000725	51	50
OG0000726	65	65
OG0000727	60	55
OG0000728	73	73
OG0000729	67	67
OG0000730	52	44
OG0000731	42	41
OG0000732	53	35
OG0000733	46	43
OG0000734	62	62
OG0000735	48	47
OG0000736	59	54
OG0000737	46	45
OG0000738	62	59
OG0000739	51	48
OG0000740	61	58
OG0000741	60	60
OG0000742	61	61
OG0000743	50	43
OG0000744	51	50
OG0000745	51	51
OG0000746	54	48
OG0000747	56	55
OG0000748	49	48
OG0000749	59	58
OG0000750	63	61
OG0000751	62	62
OG0000752	55	55
OG0000753	54	45
OG0000754	61	60
OG0000755	70	70
OG0000756	37	35
OG0000757	56	54
OG0000758	62	58
OG0000759	61	61
OG0000760	44	44
OG0000761	57	55
OG0000762	34	31
OG0000763	46	43
OG0000764	39	34
OG0000765	49	45
OG0000766	59	58
OG0000767	39	33
OG0000768	44	44
OG0000769	57	57
OG0000770	55	52
OG0000771	56	55
OG0000772	38	35
OG0000773	47	43
OG0000774	55	54
OG0000775	56	55
OG0000776	64	64
OG0000777	56	52
OG0000778	59	47
OG0000779	52	49
OG0000780	54	32
OG0000781	59	48
OG0000782	58	58
OG0000783	71	71
OG0000784	51	46
OG0000785	65	65
OG0000786	54	48
OG0000787	57	53
OG0000788	49	49
OG0000789	57	57
OG0000790	56	54
OG0000791	48	45
OG0000792	53	53
OG0000793	54	53
OG0000794	37	36
OG0000795	42	40
OG0000796	63	61
OG0000797	62	62
OG0000798	46	36
OG0000799	57	57
OG0000800	64	64
OG0000801	62	62
OG0000802	60	60
OG0000803	48	43
OG0000804	52	51
OG0000805	55	55
OG0000806	61	60
OG0000807	70	70
OG0000808	70	70
OG0000809	57	55
OG0000810	61	52
OG0000811	70	70
OG0000812	42	40
OG0000813	50	50
OG0000814	60	60
OG0000815	49	48
OG0000816	50	49
OG0000817	45	41
OG0000818	50	48
OG0000819	48	48
OG0000820	55	55
OG0000821	47	45
OG0000822	51	48
OG0000823	61	61
OG0000824	55	55
OG0000825	48	47
OG0000826	37	37
OG0000827	42	34
OG0000828	55	53
OG0000829	60	60
OG0000830	38	37
OG0000831	56	56
OG0000832	54	50
OG0000833	61	61
OG0000834	46	46
OG0000835	54	49
OG0000836	69	69
OG0000837	56	52
OG0000838	69	69
OG0000839	69	69
OG0000840	57	57
OG0000841	68	68
OG0000842	68	68
OG0000843	58	54
OG0000844	50	38
OG0000845	29	23
OG0000846	58	57
OG0000847	54	54
OG0000848	56	56
OG0000849	54	41
OG0000850	50	50
OG0000851	51	46
OG0000852	51	48
OG0000853	46	46
OG0000854	54	29
OG0000855	45	45
OG0000856	55	55
OG0000857	56	50
OG0000858	49	48
OG0000859	49	48
OG0000860	60	60
OG0000861	54	50
OG0000862	56	52
OG0000863	68	68
OG0000864	52	52
OG0000865	61	60
OG0000866	62	62
OG0000867	33	32
OG0000868	67	67
OG0000869	34	29
OG0000870	57	57
OG0000871	48	41
OG0000872	54	54
OG0000873	35	30
OG0000874	39	33
OG0000875	49	47
OG0000876	49	47
OG0000877	52	51
OG0000878	48	43
OG0000879	51	50
OG0000880	60	60
OG0000881	49	49
OG0000882	57	56
OG0000883	51	47
OG0000884	57	57
OG0000885	53	51
OG0000886	43	29
OG0000887	55	53
OG0000888	42	40
OG0000889	55	54
OG0000890	55	55
OG0000891	60	60
OG0000892	54	54
OG0000893	53	53
OG0000894	51	50
OG0000895	60	60
OG0000896	39	37
OG0000897	39	31
OG0000898	62	62
OG0000899	55	49
OG0000900	59	59
OG0000901	42	39
OG0000902	41	33
OG0000903	49	47
OG0000904	48	46
OG0000905	64	63
OG0000906	47	42
OG0000907	52	51
OG0000908	57	57
OG0000909	49	49
OG0000910	45	38
OG0000911	57	57
OG0000912	50	47
OG0000913	44	43
OG0000914	52	49
OG0000915	35	34
OG0000916	47	37
OG0000917	54	54
OG0000918	48	44
OG0000919	65	65
OG0000920	56	56
OG0000921	59	59
OG0000922	54	53
OG0000923	57	53
OG0000924	66	66
OG0000925	58	56
OG0000926	52	51
OG0000927	46	41
OG0000928	47	45
OG0000929	47	36
OG0000930	55	55
OG0000931	54	52
OG0000932	49	45
OG0000933	41	38
OG0000934	45	42
OG0000935	36	29
OG0000936	56	55
OG0000937	39	38
OG0000938	52	47
OG0000939	46	41
OG0000940	44	37
OG0000941	48	44
OG0000942	59	59
OG0000943	50	48
OG0000944	56	53
OG0000945	58	58
OG0000946	53	53
OG0000947	55	55
OG0000948	54	54
OG0000949	52	52
OG0000950	56	48
OG0000951	57	57
OG0000952	52	50
OG0000953	49	43
OG0000954	48	47
OG0000955	58	58
OG0000956	51	50
OG0000957	57	55
OG0000958	49	48
OG0000959	50	45
OG0000960	36	32
OG0000961	45	45
OG0000962	45	39
OG0000963	49	44
OG0000964	51	49
OG0000965	53	52
OG0000966	47	45
OG0000967	43	41
OG0000968	57	57
OG0000969	45	40
OG0000970	45	44
OG0000971	35	29
OG0000972	55	55
OG0000973	44	39
OG0000974	52	48
OG0000975	38	35
OG0000976	52	50
OG0000977	37	35
OG0000978	53	53
OG0000979	44	44
OG0000980	46	40
OG0000981	52	52
OG0000982	44	42
OG0000983	55	49
OG0000984	51	49
OG0000985	37	37
OG0000986	58	58
OG0000987	47	47
OG0000988	58	58
OG0000989	45	22
OG0000990	35	30
OG0000991	44	44
OG0000992	40	40
OG0000993	41	40
OG0000994	35	32
OG0000995	41	40
OG0000996	31	28
OG0000997	52	52
OG0000998	51	51
OG0000999	41	35
OG0001000	37	31
OG0001001	55	55
OG0001002	56	56
OG0001003	46	44
OG0001004	50	46
OG0001005	40	40
OG0001006	40	40
OG0001007	55	54
OG0001008	44	36
OG0001009	43	41
OG0001010	47	43
OG0001011	40	39
OG0001012	51	42
OG0001013	52	51
OG0001014	51	51
OG0001015	41	35
OG0001016	49	45
OG0001017	40	37
OG0001018	49	49
OG0001019	56	56
OG0001020	48	42
OG0001021	50	50
OG0001022	46	45
OG0001023	51	48
OG0001024	51	50
OG0001025	44	41
OG0001026	48	45
OG0001027	44	44
OG0001028	58	57
OG0001029	57	56
OG0001030	59	59
OG0001031	51	51
OG0001032	48	46
OG0001033	47	47
OG0001034	55	53
OG0001035	31	30
OG0001036	54	54
OG0001037	53	53
OG0001038	36	31
OG0001039	43	40
OG0001040	42	41
OG0001041	52	51
OG0001042	33	30
OG0001043	36	36
OG0001044	53	53
OG0001045	38	38
OG0001046	38	34
OG0001047	48	47
OG0001048	51	51
OG0001049	55	51
OG0001050	44	44
OG0001051	41	34
OG0001052	33	33
OG0001053	36	30
OG0001054	48	41
OG0001055	49	47
OG0001056	40	39
OG0001057	43	38
OG0001058	43	42
OG0001059	28	27
OG0001060	41	38
OG0001061	39	38
OG0001062	36	33
OG0001063	49	49
OG0001064	54	53
OG0001065	50	41
OG0001066	56	56
OG0001067	62	62
OG0001068	46	44
OG0001069	53	50
OG0001070	49	47
OG0001071	56	56
OG0001072	51	50
OG0001073	37	34
OG0001074	43	43
OG0001075	49	45
OG0001076	44	43
OG0001077	45	37
OG0001078	47	46
OG0001079	27	26
OG0001080	31	30
OG0001081	23	16
OG0001082	40	39
OG0001083	52	49
OG0001084	38	31
OG0001085	51	51
OG0001086	55	55
OG0001087	41	39
OG0001088	43	43
OG0001089	45	43
OG0001090	50	49
OG0001091	49	47
OG0001092	46	46
OG0001093	35	32
OG0001094	53	53
OG0001095	44	44
OG0001096	50	50
OG0001097	52	52
OG0001098	46	39
OG0001099	50	46
OG0001100	48	44
OG0001101	47	39
OG0001102	53	53
OG0001103	47	47
OG0001104	47	47
OG0001105	54	50
OG0001106	45	41
OG0001107	53	53
OG0001108	44	44
OG0001109	40	28
OG0001110	50	50
OG0001111	58	58
OG0001112	60	60
OG0001113	58	58
OG0001114	41	38
OG0001115	40	34
OG0001116	41	41
OG0001117	49	49
OG0001118	50	50
OG0001119	44	43
OG0001120	41	39
OG0001121	48	48
OG0001122	50	50
OG0001123	47	45
OG0001124	32	28
OG0001125	42	41
OG0001126	50	50
OG0001127	41	38
OG0001128	49	47
OG0001129	48	47
OG0001130	51	51
OG0001131	44	43
OG0001132	46	46
OG0001133	51	50
OG0001134	34	28
OG0001135	50	47
OG0001136	51	50
OG0001137	49	44
OG0001138	54	54
OG0001139	40	39
OG0001140	49	48
OG0001141	45	44
OG0001142	42	42
OG0001143	35	30
OG0001144	50	50
OG0001145	54	54
OG0001146	52	50
OG0001147	39	39
OG0001148	54	54
OG0001149	53	51
OG0001150	54	54
OG0001151	55	55
OG0001152	60	60
OG0001153	38	33
OG0001154	44	44
OG0001155	52	52
OG0001156	45	44
OG0001157	46	46
OG0001158	49	48
OG0001159	44	44
OG0001160	43	42
OG0001161	40	38
OG0001162	42	31
OG0001163	38	38
OG0001164	35	31
OG0001165	39	36
OG0001166	40	38
OG0001167	43	37
OG0001168	47	45
OG0001169	45	44
OG0001170	46	45
OG0001171	48	41
OG0001172	38	33
OG0001173	47	44
OG0001174	43	42
OG0001175	40	38
OG0001176	49	49
OG0001177	51	51
OG0001178	34	28
OG0001179	38	33
OG0001180	48	47
OG0001181	53	53
OG0001182	45	39
OG0001183	38	38
OG0001184	45	45
OG0001185	52	47
OG0001186	46	43
OG0001187	50	50
OG0001188	52	49
OG0001189	46	46
OG0001190	47	47
OG0001191	53	53
OG0001192	51	51
OG0001193	57	57
OG0001194	25	24
OG0001195	48	48
OG0001196	58	58
OG0001197	41	40
OG0001198	42	38
OG0001199	27	23
OG0001200	39	39
OG0001201	42	41
OG0001202	48	48
OG0001203	50	49
OG0001204	46	45
OG0001205	47	46
OG0001206	39	37
OG0001207	48	48
OG0001208	34	33
OG0001209	45	44
OG0001210	48	48
OG0001211	34	25
OG0001212	48	48
OG0001213	48	47
OG0001214	40	31
OG0001215	44	44
OG0001216	49	49
OG0001217	40	40
OG0001218	47	46
OG0001219	32	31
OG0001220	46	46
OG0001221	48	43
OG0001222	25	24
OG0001223	45	37
OG0001224	55	52
OG0001225	45	45
OG0001226	50	50
OG0001227	49	49
OG0001228	42	36
OG0001229	45	42
OG0001230	47	47
OG0001231	46	44
OG0001232	39	39
OG0001233	44	38
OG0001234	51	51
OG0001235	45	45
OG0001236	40	38
OG0001237	39	39
OG0001238	50	47
OG0001239	44	44
OG0001240	41	40
OG0001241	49	49
OG0001242	50	48
OG0001243	42	41
OG0001244	58	58
OG0001245	49	46
OG0001246	39	37
OG0001247	49	49
OG0001248	46	44
OG0001249	46	45
OG0001250	34	30
OG0001251	34	34
OG0001252	47	46
OG0001253	41	41
OG0001254	39	37
OG0001255	43	42
OG0001256	43	43
OG0001257	46	42
OG0001258	47	46
OG0001259	48	48
OG0001260	46	46
OG0001261	44	42
OG0001262	46	43
OG0001263	38	38
OG0001264	48	42
OG0001265	38	37
OG0001266	45	41
OG0001267	24	23
OG0001268	44	44
OG0001269	40	37
OG0001270	47	46
OG0001271	38	35
OG0001272	45	39
OG0001273	42	42
OG0001274	36	30
OG0001275	40	39
OG0001276	49	48
OG0001277	49	49
OG0001278	31	31
OG0001279	40	39
OG0001280	47	47
OG0001281	50	50
OG0001282	46	46
OG0001283	43	34
OG0001284	44	44
OG0001285	47	47
OG0001286	44	44
OG0001287	44	43
OG0001288	43	41
OG0001289	43	38
OG0001290	43	41
OG0001291	46	39
OG0001292	48	47
OG0001293	39	29
OG0001294	49	49
OG0001295	37	33
OG0001296	40	36
OG0001297	41	33
OG0001298	46	46
OG0001299	47	47
OG0001300	57	57
OG0001301	49	41
OG0001302	49	47
OG0001303	42	40
OG0001304	46	43
OG0001305	49	48
OG0001306	50	50
OG0001307	52	52
OG0001308	51	49
OG0001309	53	53
OG0001310	51	41
OG0001311	56	56
OG0001312	56	56
OG0001313	47	43
OG0001314	35	35
OG0001315	43	43
OG0001316	38	29
OG0001317	34	32
OG0001318	36	32
OG0001319	41	41
OG0001320	46	45
OG0001321	44	44
OG0001322	44	44
OG0001323	28	27
OG0001324	39	39
OG0001325	37	36
OG0001326	42	42
OG0001327	41	41
OG0001328	43	43
OG0001329	38	38
OG0001330	49	49
OG0001331	40	39
OG0001332	45	44
OG0001333	45	44
OG0001334	39	32
OG0001335	41	40
OG0001336	45	45
OG0001337	45	42
OG0001338	49	49
OG0001339	34	32
OG0001340	47	47
OG0001341	44	37
OG0001342	47	47
OG0001343	48	48
OG0001344	50	50
OG0001345	44	43
OG0001346	48	48
OG0001347	44	39
OG0001348	45	43
OG0001349	45	37
OG0001350	48	48
OG0001351	43	40
OG0001352	45	35
OG0001353	33	33
OG0001354	51	51
OG0001355	46	46
OG0001356	47	45
OG0001357	48	47
OG0001358	47	47
OG0001359	55	55
OG0001360	43	38
OG0001361	51	51
OG0001362	50	47
OG0001363	56	56
OG0001364	54	54
OG0001365	31	31
OG0001366	54	54
OG0001367	48	48
OG0001368	34	24
OG0001369	35	33
OG0001370	43	42
OG0001371	42	41
OG0001372	33	32
OG0001373	36	33
OG0001374	34	30
OG0001375	35	35
OG0001376	46	46
OG0001377	45	45
OG0001378	36	36
OG0001379	48	48
OG0001380	37	34
OG0001381	40	40
OG0001382	44	44
OG0001383	48	46
OG0001384	42	41
OG0001385	43	43
OG0001386	40	33
OG0001387	41	40
OG0001388	47	47
OG0001389	42	36
OG0001390	43	38
OG0001391	43	43
OG0001392	37	35
OG0001393	42	42
OG0001394	33	29
